,,,,,,,,,,,,,,,,,,,,,,,,
"Servicios","Monto Total","Monto Unitario",,,,,,,,,,,,,,,,,,,,,,
"Agua","10500","1050",,,,,,,,,,,,,,,,,,,,,,
"Luz","53815","5979.44444444444",,,,,,,,,,,,,,,,,,,,,,
"Teléfono","6747.48","749.72",,,,,,,,,,,,,,,,,,,,,,
"Celular","3660.65","406.738888888889",,,,,,,,,,,,,,,,,,,,,,
"Internet","19486.02","2165.11333333333",,,,,,,,,,,,,,,,,,,,,,
"Alquiler","332500","36944.4444444444",,,,,,,,,,,,,,,,,,,,,,,,
"Aseo","18000","2000",,,,,,,,,,,,,,,,,,,,,,,,
"Cable","10000","1111.11111111111",,,,"T. total en min:","188",,,,,,,,,,,,,,,,,,,
"Asociación","0","0","CELL","TEL",,"monto","5641",,,,,,,,,,,,,,,,,,,
"Emma","0",,"0","0",,"TELEFONO",,,,,,,,,,,,,,,,,,,,
"Javier","0",,"0","0",,"tiempo","total",,,,,,,,,,,,,,,,,,,
"Chepe","1350.24",,"1350.24","0",,"45","1350.23936170213",,,,,,,,,,,,,,,,,,,
"Nathanael","0",,"0","0",,"Entre Todos CEL:","3660.65",,,,,,,,,,,,,,,,,,,
"Guillermo","630.11","1980.35","630.11","0",,"Entre Todos TEL:","5641",,,,,,,,,,,,,,,,,,,
"Bryan","0",,"0","0",,"37065",,,,,,,,,,,,,,,,,,,,
"Diego","0",,"0","0",,"37065",,,,,,,,,,,,,,,,,,,,
"Mike","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,
"JuanPi","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,
"Otra choza","1050","total:","1980.35","0",,,,,,,,,,,,,,,,,,,,,,
"1050",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE","AGUA","LUZ","TELEFONO","CELULAR","INTERNET","ALQUILER","ASEO","MULTAS","MORA","CABLE","SUB-TOTAL","ASOCIASIÓN","TOTAL*","TOTAL","ABONO","SALDO","SALDO",,,,,,,,,
"Emma","1050","5979.44444444444","749.72","406.738888888889","2165.11333333333","36944.4444444444","2000","0","-4695","1111.11111111111","45711.5722222222","0","45711.5722222222","45710","50000","-4288.42777777778","-4290",,,,,,,,,
"Javier","1050","5979.44444444444","749.72","406.738888888889","2165.11333333333","36944.4444444444","2000","0","5825","1111.11111111111","56231.5722222222","0","56231.5722222222","56230","56000","231.572222222225","230",,,,,,,,,
"Chepe","1050","5979.44444444444","749.72","1756.97888888889","2165.11333333333","36944.4444444444","2000","0","-790","1111.11111111111","50966.8122222222","0","50966.8122222222","50965","51000","-33.1877777777772","-35",,,,,,,,,
"Guillermo","1050","5979.44444444444","749.72","1036.84888888889","2165.11333333333","36944.4444444444","2000","0","19305","1111.11111111111","70341.6822222222","0","70341.6822222222","70340","70000","341.682222222225","340",,,,,,,,,
"Bryan","1050","5979.44444444444","749.72","406.738888888889","2165.11333333333","36944.4444444444","2000","0","-460","1111.11111111111","49946.5722222222","0","49946.5722222222","49945","50000","-53.4277777777752","-55",,,,,,,,,
"JuanPi","1050","5979.44444444444","749.72","406.738888888889","2165.11333333333","36944.4444444444","2000","0","-1285","1111.11111111111","49121.5722222222","0","49121.5722222222","49120","50500","-1378.42777777778","-1380",,,,,,,,,
"Mike","1050","5979.44444444444","749.72","406.738888888889","2165.11333333333","36944.4444444444","2000","0","305","1111.11111111111","50711.5722222222","0","50711.5722222222","50710","50000","711.572222222225","710",,,,,,,,,
"Tavo","1050","0","0","0","0","0","0","0","715","0","1765","0","1765","1765","1765","0","0",,,,,,,,,
"Nathanael","1050","5979.44444444444","749.72","406.738888888889","2165.11333333333","36944.4444444444","2000","0","3305","1111.11111111111","53711.5722222222","0","53711.5722222222","53710","47000","6711.57222222222","6710",,,,,,,,,
"Diego","1050","5979.44444444444","749.72","406.738888888889","2165.11333333333","36944.4444444444","2000","0","0","1111.11111111111","50406.5722222222","0","50406.5722222222","50405","50000","406.572222222225","405",,,,,,,,,
,,,,,,,,,,,,"TOTAL","478914.5","478915","379265","ERROR","ERROR",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,"5979.44444444444"

