,,,,,,,,,,,,,,,,,,,,,,,,
"Servicios","Monto Total","Monto Unitario",,,,,,,,,,,,,,,,,,,,,,
"Agua","13416","1341.6",,,,,,,,,,,,,,,,,,,,,,
"Luz","56235","6248.33333333333",,,,,,,,,,,,,,,,,,,,,,
"Teléfono","4700","522.222222222222",,,,,,,,,,,,,,,,,,,,,,
"Celular","4215","468.333333333333",,,,,,,,,,,,,,,,,,,,,,,,,,
"Internet","14000","1555.55555555556",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alquiler","332500","36944.4444444444",,,,,,,,,,,,,,,,,,,,,,,,,,
"Aseo","18000","2000",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cable","10000","1111.11111111111",,,,"T. total en min:","188",,"0",,"Sub-total","0",,,,,,,,,,,,,,,,
"Asociación","0","0","CELL","TEL",,"monto","5641",,"Luis M.",,"deposito","27500",,,,,,,,,,,,,,,,
"Emma","0",,"0","0",,"TELEFONO",,,"Rubro","¢","TOTAL","27500",,,,,,,,,,,,,,,,
"Javier","0",,"0","0",,"tiempo","total",,"router","5000",,,,,,,,,,,,,,,,,,
"Chepe","0",,"0","0",,"45","1350.23936170213",,"deposito","27500",,,,,,,,,,,,,,,,,,
"Nathanael","0",,"0","0",,"Entre Todos CEL:","5641",,"alquiler","29500",,,,,,,,,,,,,,,,,,
"Guillermo","0","0","0","0",,"Entre Todos TEL:","5641",,"abono","-15000",,,,,,,,,,,,,,,,,,
"Bryan","0",,"0","0",,,,,"TOTAL","47000",,,,,,,,,,,,,,,,,,
"Diego","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,
"Mike","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,
"JuanPi","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,
"Otra choza","1341.6","total:","0","0",,,,,,,,,,,,,,,,,,,,,,,,
"1341.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE","AGUA","LUZ","TELEFONO","CELULAR","INTERNET","ALQUILER","ASEO","MULTAS","MORA","CABLE","SUB-TOTAL","ASOCIASIÓN","TOTAL*","TOTAL","ABONO","SALDO","SALDO",,,,,,,,,,,
"Emma","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","-6915","1111.11111111111","43276.6","0","43276.6","43275","13416","29860.6","29860",,,,,,,,,,,
"Javier","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","545","1111.11111111111","50736.6","0","50736.6","50735","0","50736.6","50735",,,,,,,,,,,
"Chepe","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","-920","1111.11111111111","49271.6","0","49271.6","49270","0","49271.6","49270",,,,,,,,,,,
"Guillermo","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","-345","1111.11111111111","49846.6","0","49846.6","49845","40000","9846.6","9845",,,,,,,,,,,
"Bryan","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","260","1111.11111111111","50451.6","0","50451.6","50450","0","50451.6","50450",,,,,,,,,,,
"JuanPi","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","-1065","1111.11111111111","49126.6","0","49126.6","49125","50000","-873.400000000001","-875",,,,,,,,,,,
"Mike","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","6025","1111.11111111111","56216.6","0","56216.6","56215","0","56216.6","56215",,,,,,,,,,,
"Tavo","1341.6","0","0","0","0","0","0","0","-1705","0","-363.4","0","-363.4","-365","0","-363.4","-365",,,,,,,,,,,
"Nathanael","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","6000","5165","1111.11111111111","61356.6","0","61356.6","61355","0","61356.6","61355",,,,,,,,,,,
"Diego","1341.6","6248.33333333333","522.222222222222","468.333333333333","1555.55555555556","36944.4444444444","2000","0","-780","1111.11111111111","49411.6","0","49411.6","49410","0","49411.6","49410",,,,,,,,,,,
,,,,,,,,,,,,"TOTAL","459331","459330","103416","ERROR","ERROR",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

